ID;Title;Singer,,,
1;Ratapan Anak Tiri;Titik Sandora,,,
2;Sorga Dunia;Elvy Sukaesih,,,
3;Kesunyian Jiwa;Jayanthi Mandasari,,,
4;Hilang Tak Berkesan;Rano Karno,,,
5;Cinta Hampa;D'lloyd,,,
6;Do'a Suci;Elvy Sukaesih,,,
7;Keagungan Tuhan;Titiek Sandhora,,,
8;Ke Bina Ria;Titiek Sandhora,,,
9;Dingin;Hetty Koes Endang,,,
10;Hatimu Hatiku;Titiek Sandhora & Muchsin,,,
11;Cintaku Abadi Untukmu;Silvy Pattie,,,
12;Katakanlah;Emilia Contesa,,,
13;Sepasang Rusa;Tetty Kadi,,,
14;Khayal Dan Tangis;Endang S. Taurina,,,
15;Pesanku;Onny Suryono,,,
16;Hesty;Lilis Suryani,,,
17;Papaya Cha Cha;Grace Simon,,,
18;Mengapa Tiada Maaf;Bob Tutupoly,,,
19;Ada Satu Jalan Lagi;Silvy Pattie,,,
20;Derita Tiada Akhir;Hengky Black Brothers,,,
21;Biar ku Sendiri;Charles Hutagalung,,,
22;Pelita Hati;Benny Panjaitan,,,
23;Perasaan Yang Ditinggalkan;Titik Sandhora,,,
24;Jangan Ditanya Kemana Aku Pergi;Muchsin Alatas,,,
25;Untuk Apa;Emilia Contesa,,,
26;Tinggi Gunung Seribu Janji;Bob Tutupoly,,,
27;Cinta Membawa Derita;Silvy Pattie,,,
28;Mencari;Titiek Sandhora,,,
29;Jangan Biarkan Aku;Diana Nasution,,,
30;Lihatlah Air Mata;Grace Simon,,,
31;Untuk Di Kau;Lilis Suryani,,,
32;Mengenang Nasib;Ernie Djohan,,,
33;Semalam Di Kuala Lumpur;Tetty Kadi,,,
34;Aku Cinta Padamu;Silvy Pattie,,,
35;Cincin Kenangan;Nur'Afni Octavia,,,
36;Rindu Bertemu Rindu;Endang S. Taurina,,,
37;Melati;Emilia Contesa,,,
38;Ku Terkenang Selalu;Arie Koesmiran,,,
39;Setulus Hatiku Semurni Cintamu;Favorite Group,,,
40;Hatiku Bagai Disangkar Emas;Nafa Urbach,,,
42;Takdir (Kasihku Yang Hilang);Desy Ratnasari,,,
44;Hati Yang Kecewa;Nafa Urbach,,,
45;Kau Selalu Dihatiku;Yuni Shara,,,
46;Janjiku;Paramitha Rusady,,,
47;Rembulan Bersinar Lagi;Dangdut Jaipong,,,
48;Angka Satu;Dangdut Jaipong,,,
49;Tujuh Sumur;Dangdut Jaipong,,,
50;Cinta Ketok Magic;Dangdut Jaipong,,,
51;Berdarah Lagi;Dangdut Jaipong,,,
52;Tembok Derita;Dangdut Jaipong,,,
53;Gubuk Derita;Dangdut Jaipong,,,
54;Lilin Lilin Kecil;Yuni Shara,,,
55;Pelangi;Yuni Shara,,,
56;Return Of The Condor Heroes;Yuni Shara,,,
57;Mengapa Tiada Maaf;Yuni Shara,,,
58;Mengapa Harus Jumpa;Yuni Shara,,,
59;Api Asmara;Yuni Shara,,,
60;Aku Percaya;Yuni Shara,,,
61;Sebelum Kau Pergi;Yuni Shara,,,
62;Hanya Untukmu;Yuni Shara,,,
63;Haruskah Aku Menangis;Niken,,,
64;Tiada Kata;Sophia Latjuba,,,
65;Cinta Kita;Ismi Azis,,,
